vehicle_id,company_id,vehicle_number_plate,vehicle_date_of_first_km,vehicle_seats_count,vehicle_standing_count,vehicle_co2_emission
2194,4,EQ-091-BJ,20170828,59,0,,
2192,4,EQ-100-BJ,20170828,59,0,,
2193,4,EQ-097-BJ,20170828,59,0,,
2037,4,CQ-752-RL,20040914,63,0,,
2030,4,BZ-893-ZB,20040212,15,0,,
2221,4,CJ-598-ND,20120806,55,0,,
2209,4,CK-016-NQ,20120910,59,0,,
2154,4,DC-935-HY,20140122,59,0,,
2155,4,DC-955-HY,20140122,59,0,,
2156,4,DC-716-KE,20140122,63,0,,
2172,4,DV-701-HJ,20140828,63,0,,
2206,4,EW-935-CL,20180328,63,0,,
2214,4,FA-823-AN,20180904,63,0,,
2028,4,BA-330-CS,20030721,63,0,,
2051,4,CR-685-KL,20060816,59,0,,
2053,4,AW-438-SY,20060921,59,0,,
2068,4,DJ-172-NV,20070115,59,0,,
2070,4,CT-018-JR,20070403,59,0,,
2072,4,AZ-317-KB,20070919,63,0,,
2108,4,AX-453-EJ,20070721,63,0,,
2124,4,BV-746-EN,20110620,63,0,,
2234,4,CK-040-GT,20120903,59,0,,
2213,4,FA-984-AN,20180830,63,0,,
2019,4,BY-711-YZ,20020902,59,0,,
2020,4,BY-671-YZ,20020920,59,0,,
4007,3,7657 ZZ 49,20020826,59,0,,
489,10,BT-489-CE,20110824,59,0,,
6056,3,DC-937-VL,20090410,61,0,,
4012,3,BC-623-KF,20101029,63,0,,
6055,3,DF-885-VL,20090410,61,0,,
6054,3,DJ-606-YJ,20140909,22,0,,
790,10,BT-790-ES,20110826,22,0,,
501,10,BT-501-CE,20110824,59,0,,
234,10,CT-327-TW,20030303,59,0,,
41,11,CR-637-KP,20070130,57,0,,
42,11,BR-294-RG,20110720,63,0,,
43,7,3064 ZH 49,20050103,62,0,,
44,7,250 ADJ 49,20050110,64,0,,
257,7,FJ-990-MV,20190816,34,33,,
46,7,CZ-275-BF,20130930,59,0,,
47,7,DT-131-AE,20150702,59,0,,
771,15,DW-771-NE,20090901,61,0,,
280,15,CE-280-PS,20080825,57,0,,
876,15,BR-876-TB,20110721,63,0,,
42,15,AH-42-BV,20091211,59,0,,
511,13,BS-738-DC,20030107,59,0,,
988,15,AH-988-JY,20091217,63,0,,
934,15,AQ-934-WF,20030102,59,0,,
938,15,CK-938-MZ,20120910,59,0,,
321,15,AY-321-HB,20100811,63,0,,
11372,17,BV-920-CZ,20110919,63,0,,
013,2,CZ-334-LZ,20131014,7,0,,
014,2,DY-609-BW,20151211,8,0,,
002,2,BH-635-KL,20030102,57,0,,
003,2,BH-793-KL,20040105,55,0,,
001,2,BH-848-KL,20040105,57,0,,
011,2,BJ-017-EG,20060102,63,0,,
012,2,BH-024-KM,20070102,63,0,,
004,2,BH-998-KL,20080204,39,0,,
009,2,BH-927-MK,20090106,57,0,,
010,2,AJ-444-JY,20100329,57,0,,
008,2,AP-092-JA,20100106,57,0,,
007,2,DL-183-TV,20141117,63,0,,
005,2,BH-530-KL,20040715,22,0,,
006,2,BH-961-KL,20090213,22,0,,
72,16,AB-181-AE,20090603,22,0,,
73,16,AV-909-MH,20100622,22,0,,
063037,6,CE-359-HR,20160101,61,0,,
033010,6,BN-370-YA,20030101,57,0,,
033014,6,BN-060-XR,20030101,57,0,,
053016,6,CX-133-SD,20050101,61,0,,
063026,6,637 ATZ 13,20060101,61,0,,
063064,6,AV-281-PV,20060101,61,0,,
073423,6,EB-080-NQ,20070101,61,0,,
111022,6,BN-009-JX,20110101,59,0,,
111066,6,BS-462-JQ,20110101,59,0,,
111076,6,BS-266-SD,20110101,59,0,,
111097,6,BT-109-HV,20110101,59,0,,
313,14,DZ-564-MG,20160307,29,0,,
500,14,DJ-430-SQ,20140828,63,0,,
515,14,BG-420-TS,20110126,63,0,,
549,14,CK-316-EN,20080731,57,0,,
11,14,CK-758-YG,20070926,59,0,,
545,14,BR-229-VT,20070727,63,0,,
516,14,BH-604-YR,20060831,63,0,,
119,14,BV-978-AA,20050919,57,0,,
518,14,CA-183-SH,20050909,63,0,,
517,14,AZ-067-FX,20050420,63,0,,
532,14,BT-496-FR,20020903,59,0,,
DV442AL,5,DV-442-AL,20150813,6,0,,
EE164QK,5,EE-164-QK,20160817,5,0,,
DV975MX,5,DV-975-MX,20150907,5,0,,
DV832FV,5,DV-832-FV,20150826,5,0,,
